"DateTime","Germany, Base","Germany, Peak"
"2002-01-02 00:00:00",28.75,37.52
"2002-01-03 00:00:00",31.27,39.98
"2002-01-04 00:00:00",34.21,38.44
"2002-01-05 00:00:00",27.53,31.12
"2002-01-06 00:00:00",20.64,23.14
"2002-01-07 00:00:00",47.45,66.49
"2002-01-08 00:00:00",61,79.67
"2002-01-09 00:00:00",51.98,70.49
"2002-01-10 00:00:00",50.06,65.68
"2002-01-11 00:00:00",42.69,49.98
"2002-01-12 00:00:00",32.8,39.74
"2002-01-13 00:00:00",26.42,30.87
"2002-01-14 00:00:00",37.9,50.54
"2002-01-15 00:00:00",34.05,38.52
"2002-01-16 00:00:00",33.92,42.44
"2002-01-17 00:00:00",34.43,40.43
"2002-01-18 00:00:00",31.67,38.11
"2002-01-19 00:00:00",16.53,18.43
"2002-01-20 00:00:00",16.11,19.17
"2002-01-21 00:00:00",27.63,35.55
"2002-01-22 00:00:00",28.25,34.18
"2002-01-23 00:00:00",24.08,32.13
"2002-01-24 00:00:00",25.41,32.21
"2002-01-25 00:00:00",24.71,29.7
"2002-01-26 00:00:00",18.24,22.18
"2002-01-27 00:00:00",15.81,18.98
"2002-01-28 00:00:00",24.52,31.92
"2002-01-29 00:00:00",17.9,23.74
"2002-01-30 00:00:00",23.39,29.29
"2002-01-31 00:00:00",20.99,25.68
"2002-02-01 00:00:00",20.93,24.75
"2002-02-02 00:00:00",15.22,17.69
"2002-02-03 00:00:00",11.46,15.44
"2002-02-04 00:00:00",21.13,26.38
"2002-02-05 00:00:00",21.14,26.1
"2002-02-06 00:00:00",20.95,24.67
"2002-02-07 00:00:00",20.57,23.99
"2002-02-08 00:00:00",18.92,22.09
"2002-02-09 00:00:00",17.2,19.81
"2002-02-10 00:00:00",13.76,16.94
"2002-02-11 00:00:00",18.86,22.79
"2002-02-12 00:00:00",16.52,18.83
"2002-02-13 00:00:00",22.2,26.36
"2002-02-14 00:00:00",24.03,28.16
"2002-02-15 00:00:00",18.62,20.18
"2002-02-16 00:00:00",22.84,26.51
"2002-02-17 00:00:00",18.3,19.93
"2002-02-18 00:00:00",22.98,28.07
"2002-02-19 00:00:00",22.07,26.05
"2002-02-20 00:00:00",22.91,27.52
"2002-02-21 00:00:00",25.7,31.58
"2002-02-22 00:00:00",21.76,24.21
"2002-02-23 00:00:00",18.89,20.62
"2002-02-24 00:00:00",18.9,20.35
"2002-02-25 00:00:00",24.04,28.65
"2002-02-26 00:00:00",22.59,27
"2002-02-27 00:00:00",19.98,23.97
"2002-02-28 00:00:00",22.97,26.8
"2002-03-01 00:00:00",27.83,33.9
"2002-03-02 00:00:00",18.56,21.08
"2002-03-03 00:00:00",15.07,17.8
"2002-03-04 00:00:00",23.7,28.17
"2002-03-05 00:00:00",24.74,29.71
"2002-03-06 00:00:00",22.79,27.01
"2002-03-07 00:00:00",21.47,25.41
